CompanyName,Hyperlink,DownloadStatus,DownloadErrorFrequency,Remark,VolumnIndicatorProcess,VolumnIndicatorResult,Empty,Empty
George Kent (Malaysia) Bhd,/equities/george-kent-(malaysia)-bhd,To be processed,1,,,,,
Saudee Group Bhd,/equities/saudee-group-bhd,To be processed,1,,,,,
Homeritz Corporation Bhd,/equities/homeritz-corporation-bhd,To be processed,1,,,,,
Mtag Group Berhad,/equities/mtag-group-berhad,To be processed,1,,,,,
Muhibbah Engineering M Bhd,/equities/muhibbah-engineering-m-bhd,To be processed,1,,,,,
Ranhill Holdings Ltd,/equities/symphony-house-bhd,To be processed,1,,,,,
K N Kenanga Holdings Bhd,/equities/k-n-kenanga-holdings-bhd,To be processed,1,,,,,
Poh Huat Resources Holdings,/equities/poh-huat-resources-holdings,To be processed,1,,,,,
SKP Resources Bhd,/equities/skp-resources-bhd,To be processed,1,,,,,
Boustead Holdings Bhd,/equities/boustead-holdings-bhd,To be processed,1,,,,,
Prestar Resources Bhd,/equities/prestar-resources-bhd,To be processed,1,,,,,
Malayan Flour Mills Bhd,/equities/malayan-flour-mills-bhd,To be processed,1,,,,,
Prolexus Bhd,/equities/prolexus-bhd,To be processed,1,,,,,
Brite Tech Bhd,/equities/brite-tech-bhd,To be processed,1,,,,,
Dancomech Holdings Bhd,/equities/dancomech-holdings-bhd,To be processed,1,,,,,
United U Li Corporation Bhd,/equities/united-u-li-corporation,To be processed,1,,,,,
Innature Bhd,/equities/innature-bhd,To be processed,1,,,,,
NTPM Holdings Bhd,/equities/ntpm-holdings-bhd,To be processed,1,,,,,
Luxchem Corporation Bhd,/equities/luxchem-corporation-bhd,To be processed,1,,,,,
Kerjaya Prospek Group Bhd,/equities/fututech-bhd,To be processed,1,,,,,
Lagenda Properties Bhd,/equities/d.b.e.-gurney-resources-bhd,To be processed,1,,,,,
KSL Holdings Bhd,/equities/ksl-holdings-bhd,To be processed,1,,,,,
Revenue Group Bhd,/equities/revenue-group,To be processed,1,,,,,
PESTECH International Bhd,/equities/pestech-international-bhd,To be processed,1,,,,,
Mieco Chipboard Bhd,/equities/mieco-chipboard-bhd,To be processed,1,,,,,
CapitaLand Malaysia Mall Trust,/equities/capitamalls-malaysia-trust,To be processed,1,,,,,
KPJ Healthcare Bhd,/equities/kpj-healthcare-bhd,To be processed,1,,,,,
Elsoft Research Bhd,/equities/elsoft-research-bhd,To be processed,1,,,,,
7 Eleven Malaysia Holdings Bhd,/equities/7-eleven-malaysia-holdings-bhd,To be processed,1,,,,,
Gabungan AQRS Bhd,/equities/gabungan-aqrs-bhd,To be processed,1,,,,,
Oceancash Pacific Bhd,/equities/oceancash-pacific-bhd,To be processed,1,,,,,
Astro Malaysia Holdings Bhd,/equities/astro-malaysia-holdings-bhd,To be processed,1,,,,,
Coastal Contracts Bhd,/equities/coastal-contracts-bhd,To be processed,1,,,,,
Tek Seng Holdings Bhd,/equities/tek-seng-holdings-bhd,To be processed,1,,,,,
Boilermech Holdings Bhd,/equities/boilermech-holdings-bhd,To be processed,1,,,,,
Wellcall Holdings Bhd,/equities/wellcall-holdings-bhd,To be processed,1,,,,,
Hil Industries Bhd,/equities/hil-industries-bhd,To be processed,1,,,,,
Sunway Bhd,/equities/sunway-bhd,To be processed,1,,,,,
Muda Holdings Bhd,/equities/muda-holdings-bhd,To be processed,1,,,,,
CCK Consolidated Holdings Bhd,/equities/cck-consolidated-holdings,To be processed,1,,,,,
Kim Loong Resources Bhd,/equities/kim-loong-resources-bhd,To be processed,1,,,,,
Kelington Group Bhd,/equities/kelington-group-bhd,To be processed,1,,,,,
Taliworks Corporation Bhd,/equities/taliworks-corporation-bhd,To be processed,1,,,,,
Pensonic Holdings Bhd,/equities/pensonic-holdings-bhd,To be processed,1,,,,,
Kumpulan Perangsang Selangor,/equities/kumpulan-perangsang-selangor,To be processed,1,,,,,
Muar Ban Lee Group Bhd,/equities/muar-ban-lee-group-bhd,To be processed,1,,,,,
KUB Malaysia Bhd,/equities/kub-malaysia-bhd,To be processed,1,,,,,
Pecca Group Bhd,/equities/pecca-group-bhd,To be processed,1,,,,,
