CompanyName,Hyperlink,DownloadStatus,DownloadErrorFrequency,Remark,VolumnIndicatorProcess,VolumnIndicatorResult,Empty,Empty
Macpie Bhd,/equities/sterling-progress-bhd,Download Sucessful,1,Append Successfully,,,,
TechnoDex Bhd,/equities/technodex-bhd,Download Sucessful,1,Append Successfully,,,,
Top Glove Corporation Bhd,/equities/top-glove-corporation-bhd,Download Sucessful,1,Append Successfully,,,,
XiDeLang Holdings Ltd,/equities/xidelang-holdings-ltd,Download Sucessful,1,Append Successfully,,,,
Comfort Gloves Bhd,/equities/integrated-rubber-corporation,Download Sucessful,1,Append Successfully,,,,
Iskandar Waterfront City Bhd,/equities/iskandar-waterfront-city-bhd,Download Sucessful,1,Append Successfully,,,,
KNM Group Bhd,/equities/knm-group-bhd,Download Sucessful,1,Append Successfully,,,,
Dagang Nexchange Bhd,/equities/dagang-nexchange-bhd,Download Sucessful,1,Append Successfully,,,,
mTouche Technology Bhd,/equities/mtouche-technology-bhd,Download Sucessful,1,Append Successfully,,,,
Green Packet Bhd,/equities/green-packet-bhd,Download Sucessful,1,Append Successfully,,,,
Ageson Bhd,/equities/prinsiptek-corporation-bhd,Download Failed,1,Skipped,,,,
DGB Asia Bhd,/equities/dgb-asia-bhd,Download Failed,1,Skipped,,,,
Minda Global Bhd,/equities/masterskill-education-group,Download Failed,1,Skipped,,,,
Key ASIC Bhd,/equities/key-asic-bhd,Download Failed,1,Skipped,,,,
CIMB Group Holdings Bhd,/equities/bumiputra---commerce-holdings-bhd,Download Failed,1,Skipped,,,,
Perak Transit Bhd,/equities/perak-transit-bhd,Download Failed,1,Skipped,,,,
QES Group Bhd,/equities/qes,Download Failed,1,Skipped,,,,
DPS Resources Bhd,/equities/dps-resources-bhd,Download Failed,1,Skipped,,,,
Privasia Technology Bhd,/equities/privasia-technology-bhd,Download Failed,1,Skipped,,,,
PUC Bhd,/equities/puc-founder-msc-bhd,Download Failed,1,Skipped,,,,
Gw Plastics Holdings Bhd,/equities/gw-plastics-holdings-bhd,Download Failed,1,Skipped,,,,
ConnectCounty Holdings Bhd,/equities/connectcounty-holdings-bhd,Download Failed,1,Skipped,,,,
D O Green Technologies Bhd,/equities/d-o-green-technologies-bhd,Download Failed,1,Skipped,,,,
Eg Industries Bhd,/equities/eg-industries-bhd,Download Failed,1,Skipped,,,,
Industronics Bhd,/equities/industronics-bhd,Download Failed,1,Skipped,,,,
Kronologi Asia Bhd,/equities/kronologi-asia-bhd,Download Failed,1,Skipped,,,,
TSR Capital Bhd,/equities/tsr-capital-bhd,Download Failed,1,Skipped,,,,
MESB Bhd,/equities/mesb-bhd,Download Failed,1,Skipped,,,,
Appasia Bhd,/equities/appasia-bhd,Download Failed,1,Skipped,,,,
T7 Global Bhd,/equities/tanjung-offshore-bhd,Download Failed,1,Skipped,,,,
Censof Holdings Bhd,/equities/censof-holdings-bhd,Download Failed,1,Skipped,,,,
GDB Holdings Bhd,/equities/gdb,Download Failed,1,Skipped,,,,
UEM Sunrise Bhd,/equities/uem-sunrise-bhd,Download Failed,1,Skipped,,,,
Cahya Mata Sarawak Bhd,/equities/cahya-mata-sarawak-bhd,Download Failed,1,Skipped,,,,
Eversendai Corporation Bhd,/equities/eversendai-corporation-bhd,Download Failed,1,Skipped,,,,
Public Bank Bhd,/equities/public-bank-bhd,Download Failed,1,Skipped,,,,
Kumpulan Powernet Bhd,/equities/kumpulan-powernet-bhd,Download Failed,1,Skipped,,,,
Wegmans Holdings Berhad,/equities/wegmans,Download Failed,1,Skipped,,,,
Hiap Huat Holdings Bhd,/equities/hiap-huat-holdings-bhd,Download Failed,1,Skipped,,,,
Sarawak Consolidated Industries Bhd,/equities/sarawak-consolidated-industries,Download Failed,1,Skipped,,,,
Cuscapi Berhad,/equities/cuscapi-berhad,Download Failed,1,Skipped,,,,
Prg Holdings Bhd,/equities/prg-holdings-bhd,Download Failed,1,Skipped,,,,
Wah Seong Corporation Bhd,/equities/wah-seong-corporation-bhd,Download Failed,1,Skipped,,,,
George Kent (Malaysia) Bhd,/equities/george-kent-(malaysia)-bhd,Download Failed,1,Skipped,,,,
DRB - Hicom Bhd,/equities/drb---hicom-bhd,Download Failed,1,Skipped,,,,
Harn Len Corporation Bhd,/equities/harn-len-corporation-bhd,Download Failed,1,Skipped,,,,
Tropicana Corporation Bhd,/equities/tropicana-corporation-bhd,Download Failed,1,Skipped,,,,
Tune Protect Group Bhd,/equities/tune-protect-group-bhd,Download Failed,1,Skipped,,,,
VisDynamics Holdings Bhd,/equities/visdynamics-holdings-bhd,Download Failed,1,Skipped,,,,
Hong Leong Bank Bhd,/equities/hong-leong-bank-bhd,Download Failed,1,Skipped,,,,
7 Eleven Malaysia Holdings Bhd,/equities/7-eleven-malaysia-holdings-bhd,Download Failed,1,Skipped,,,,
Euro Holdings Bhd,/equities/euro-holdings-bhd,Download Failed,1,Skipped,,,,
Eco World International Bhd,/equities/eco-world-international-bhd,Download Failed,1,Skipped,,,,
Ipmuda Bhd,/equities/ipmuda-bhd,Download Failed,1,Skipped,,,,
Saudee Group Bhd,/equities/saudee-group-bhd,Download Failed,1,Skipped,,,,
HeiTech Padu Bhd,/equities/heitech-padu-bhd,Download Failed,1,Skipped,,,,
Uzma Bhd,/equities/uzma-bhd,Download Failed,1,Skipped,,,,
United U Li Corporation Bhd,/equities/united-u-li-corporation,Download Failed,1,Skipped,,,,
Bright Packaging Industry Bhd,/equities/bright-packaging-industry-bhd,Download Failed,1,Skipped,,,,
MCE Holdings Bhd,/equities/multi-code-electronics-industries,Download Failed,1,Skipped,,,,
Sinmah Capital Bhd,/equities/farms-best-bhd,Download Failed,1,Skipped,,,,
Asdion Bhd,/equities/asdion,Download Failed,1,Skipped,,,,
CapitaLand Malaysia Mall Trust,/equities/capitamalls-malaysia-trust,Download Failed,1,Skipped,,,,
Scanwolf Corporation Bhd,/equities/scanwolf-corporation-bhd,Download Failed,1,Skipped,,,,
MNRB Holdings Bhd,/equities/mnrb-holdings-bhd,Download Failed,1,Skipped,,,,
Chemical Company of Malaysia,/equities/chemical-company-of-malaysia,Download Failed,1,Skipped,,,,
Ivory Properties Group Bhd,/equities/ivory-properties-group-bhd,Download Failed,1,Skipped,,,,
Sunsuria Bhd,/equities/sunsuria-bhd,Download Failed,1,Skipped,,,,
MRCB-Quill REIT Unit,/equities/mrcb-quill-unit,Download Failed,1,Skipped,,,,
PMB Technology Bhd,/equities/pmb-technology-bhd,Download Failed,1,Skipped,,,,
