CompanyName,Hyperlink,DownloadStatus
I-Stone Group Bhd,/equities/i-stone-group-bhd,To_be_Process
NetX Holdings Bhd,/equities/netx-holdings-bhd,To_be_Process
CIMB Group Holdings Bhd,/equities/bumiputra---commerce-holdings-bhd,To_be_Process
Icon Offshore Bhd,/equities/icon-offshore-bhd,To_be_Process
Boustead Holdings Bhd,/equities/boustead-holdings-bhd,To_be_Process
EA Holdings Bhd,/equities/ea-holdings-bhd,To_be_Process
Lambo Group Bhd,/equities/accsoft-technology-bhd,To_be_Process
Rimbunan Sawit Bhd,/equities/rimbunan-sawit-bhd,To_be_Process
Minda Global Bhd,/equities/masterskill-education-group,To_be_Process
Genting Malaysia Bhd,/equities/genting-malaysia-bhd,To_be_Process
SDS Group Bhd,/equities/sds-group-bhd,To_be_Process
Dynaciate Group Bhd,/equities/tatt-giap-group-bhd,To_be_Process
Genting Bhd,/equities/genting-bhd,To_be_Process
DGB Asia Bhd,/equities/dgb-asia-bhd,To_be_Process
Borneo Oil Bhd,/equities/borneo-oil-bhd,To_be_Process
Solution Engineering Holdings Bhd,/equities/solution-engineering-holdings-bhd,To_be_Process
PDZ Holdings Bhd,/equities/pdz-holdings-bhd,To_be_Process
Jadi Imaging Holdings Bhd,/equities/jadi-imaging-holdings-bhd,To_be_Process
Ikhmas Jaya Group Bhd,/equities/ikhmas-jaya-group-bhd,To_be_Process
Perak Transit Bhd,/equities/perak-transit-bhd,To_be_Process
Green Ocean Corporation Bhd,/equities/green-ocean-corporation-bhd,To_be_Process
Karex,/equities/karex,To_be_Process
Advance Synergy Bhd,/equities/advance-synergy-bhd,To_be_Process
AHB Holdings Bhd,/equities/ahb-holdings-bhd,To_be_Process
Perdana Petroleum Bhd,/equities/perdana-petroleum,To_be_Process
K-One Technology Bhd,/equities/k-one-technology-bhd,To_be_Process
Ni Hsin Resources Bhd,/equities/ni-hsin-resources-bhd,To_be_Process
Trive Property Group Bhd,/equities/eti-tech-corporation-bhd,To_be_Process
Pasukhas Group Bhd,/equities/pasukhas-group-bhd,To_be_Process
M N C Wireless Bhd,/equities/m-n-c-wireless-bhd,To_be_Process
Mestron Holdings,/equities/mestron-holdings,To_be_Process
Dagang Nexchange Bhd,/equities/dagang-nexchange-bhd,To_be_Process
Karyon Industries Bhd,/equities/karyon-industries-bhd,To_be_Process
Pan Malaysia Holdings Bhd,/equities/pan-malaysia-holdings-bhd,To_be_Process
Eg Industries Bhd,/equities/eg-industries-bhd,To_be_Process
Komarkcorp Bhd,/equities/komarkcorp-bhd,To_be_Process
Global Oriental Bhd,/equities/global-oriental-bhd,To_be_Process
Inari Amertron Bhd,/equities/inari-amertron-bhd,To_be_Process
Supercomnet Technologies Bhd,/equities/supercomnet-technologies-bhd,To_be_Process
mTouche Technology Bhd,/equities/mtouche-technology-bhd,To_be_Process
IFCA MSC Bhd,/equities/ifca-msc-bhd,To_be_Process
Anzo Holdings Bhd,/equities/harvest-court-industries-bhd,To_be_Process
Mah Sing Group Bhd,/equities/mah-sing-group-bhd,To_be_Process
Top Glove Corporation Bhd,/equities/top-glove-corporation-bhd,To_be_Process
M3 Technologies Asia Bhd,/equities/m3-technologies-asia-bhd,To_be_Process
Excel Force MSC Bhd,/equities/excel-force-msc-bhd,To_be_Process
Focus Dynamics Group Bhd,/equities/focus-dynamics-group-bhd,To_be_Process
Hibiscus Petroleum BHD,/equities/hibiscus-petroleum-bhd,To_be_Process
Serba Dinamik Holdings Bhd,/equities/serba-dinamik-holdings-bhd,To_be_Process
Airasia Bhd,/equities/airasia-bhd,To_be_Process
Orion lXL Bhd,/equities/orion-lxl-bhd,To_be_Process
Felda Global Ventures Holdings Bhd,/equities/felda-global-ventures-holdings-bhd,To_be_Process
OCR Group Bhd,/equities/takaso-resources-bhd,To_be_Process
Censof Holdings Bhd,/equities/censof-holdings-bhd,To_be_Process
iDimension Consolidated Bhd,/equities/idimension-consolidated-bhd,To_be_Process
Malayan Banking Bhd,/equities/malayan-banking-bhd,To_be_Process
Mlabs Systems Bhd,/equities/mlabs-systems-bhd,To_be_Process
HLT Global Bhd,/equities/hlt-global-bhd,To_be_Process
Iqzan Holding Bhd,/equities/ire-tex-corporation-bhd,To_be_Process
Careplus Group Bhd,/equities/careplus-group-bhd,To_be_Process
Sime Darby Bhd,/equities/sime-darby-bhd,To_be_Process
XiDeLang Holdings Ltd,/equities/xidelang-holdings-ltd,To_be_Process
YTL Corporation Bhd,/equities/ytl-corporation-bhd,To_be_Process
Pelikan International Corp,/equities/pelikan-international-corp,To_be_Process
OpenSys M Bhd,/equities/opensys-m-bhd,To_be_Process
Alam Maritim Resources Bhd,/equities/alam-maritim-resources-bhd,To_be_Process
Grand-Flo Bhd,/equities/grand-flo-bhd,To_be_Process
Ancom Logistics Bhd,/equities/ancom-logistics-bhd,To_be_Process
Telekom Malaysia Bhd,/equities/telekom-malaysia-bhd,To_be_Process
Notion Vtec Bhd,/equities/notion-vtec-bhd,To_be_Process
Dialog Group Bhd,/equities/dialog-group-bhd,To_be_Process
Gadang Holdings Bhd,/equities/gadang-holdings-bhd,To_be_Process
Greenyield Bhd,/equities/greenyield-bhd,To_be_Process
LKL International Bhd,/equities/lkl-international-bhd,To_be_Process
Ekovest Bhd,/equities/ekovest-bhd,To_be_Process
Nexgram Holdings Bhd,/equities/nexgram-holdings-bhd,To_be_Process
QES Group Bhd,/equities/qes,To_be_Process
Priceworth International Bhd,/equities/priceworth-international,To_be_Process
Duopharma Biotech Bhd,/equities/ccm-duopharma-biotech-bhd,To_be_Process
PUC Bhd,/equities/puc-founder-msc-bhd,To_be_Process
Comfort Gloves Bhd,/equities/integrated-rubber-corporation,To_be_Process
MClean Technologies Bhd,/equities/mclean-technologies-bhd,To_be_Process
Reach Energy Bhd,/equities/reach-energy-bhd,To_be_Process
Prestariang Bhd,/equities/prestariang-bhd,To_be_Process
Chin Hin Group Property Bhd,/equities/boon-koon-group-bhd,To_be_Process
Emico Holdings Bhd,/equities/emico-holdings-bhd,To_be_Process
Eduspec Holdings Bhd,/equities/eduspec-holdings-bhd,To_be_Process
OCK Group Bhd,/equities/ock-group-bhd,To_be_Process
Destini Bhd,/equities/destini-bhd,To_be_Process
Eastland Equity Bhd,/equities/eastland-equity-bhd,To_be_Process
Ho Wah Genting Bhd,/equities/ho-wah-genting-bhd,To_be_Process
TDM Bhd,/equities/tdm-bhd,To_be_Process
IHH Healthcare Bhd,/equities/ihh-healthcare-bhd,To_be_Process
Maxis Bhd,/equities/maxis-bhd,To_be_Process
Green Packet Bhd,/equities/green-packet-bhd,To_be_Process
Borneo Aqua Harvest Bhd,/equities/borneo-aqua-harvest-bhd,To_be_Process
Malaysia Building Society Bhd,/equities/malaysia-building-society-bhd,To_be_Process
DiGi.Com Bhd,/equities/digi.com-bhd,To_be_Process
Barakah Offshore Petroleum Bhd,/equities/barakah-offshore-petroleum-bhd,To_be_Process
Privasia Technology Bhd,/equities/privasia-technology-bhd,To_be_Process
Lyc Healthcare Bhd,/equities/mexter-technology-bhd,To_be_Process
GD Express Carrier Bhd,/equities/gd-express-carrier-bhd,To_be_Process
Jaya Tiasa Holdings Bhd,/equities/jaya-tiasa-holdings-bhd,To_be_Process
WTK Holdings Bhd,/equities/wtk-holdings-bhd,To_be_Process
G Neptune Bhd,/equities/g-neptune-bhd,To_be_Process
Smtrack Bhd,/equities/smtrack-bhd,To_be_Process
Tenaga Nasional Bhd,/equities/tenaga-nasional-bhd,To_be_Process
Vortex Consolidated Bhd,/equities/skh-consortium-bhd,To_be_Process
